name,excerpt,retailPrice,salePrice,threshold,sku
Organic Red Delicious Apples,Experience the freshness and juiciness of our carefully selected organic red delicious apples. Perfect for snacking or adding to salads.,2.49,1.99,50,APL123
Premium Ripe Bananas,"Indulge in the sweetness of our premium ripe bananas. Packed with natural goodness, they make a healthy and delicious snack for all ages.",1.99,1.49,30,BAN456
Fresh Organic Carrots,Our fresh organic carrots are not only crunchy and nutritious but also packed with essential vitamins. Perfect for a healthy and colorful meal.,0.99,0.79,40,CRT789
Crispy Iceberg Lettuce,"Enjoy the freshness and crispiness of our iceberg lettuce. Ideal for salads, sandwiches, or as a refreshing side dish.",1.79,1.29,20,LET567
Vine-Ripened Juicy Tomatoes,"Savor the flavor of our vine-ripened tomatoes. Perfect for sauces, salads, or simply enjoyed on their own.",2.29,1.89,25,TOM345
Fresh Farm Milk,"Indulge in the goodness of our nutrient-rich farm milk. A versatile ingredient for cooking, baking, or enjoying a glass on its own.",3.49,2.99,15,MLK123
Whole Wheat Artisan Bread,Experience the aroma and taste of our freshly baked whole wheat artisan bread. Perfect for sandwiches or to accompany your meals.,2.99,2.49,20,BRD567
Farm-Fresh Eggs,"Start your day with the goodness of our farm-fresh eggs. Perfect for breakfast, baking, or as a protein-packed snack.",4.99,3.99,10,EGG890
Assorted Cheese Selection,"Discover a variety of cheese options in our assorted cheese selection. Perfect for cheese platters, sandwiches, or melting into dishes.",5.99,4.99,15,CHS234
Boneless Chicken Breast,"Enjoy the tenderness and convenience of our boneless and skinless chicken breast. Ideal for grilling, roasting, or sautéing.",8.99,7.49,12,CHB456
Wild-Caught Salmon Fillet,Savor the rich flavor of our wild-caught salmon fillet. A healthy and delicious choice for your seafood dishes.,10.99,9.99,8,SLM789
Assorted Pasta Varieties,Explore a range of pasta varieties in our assortment. Perfect for creating flavorful and hearty pasta dishes.,2.79,2.29,25,PST012
Premium Quality Rice,Enjoy the goodness of our premium quality rice. Versatile and ideal for various cuisines and cooking styles.,3.49,2.99,20,RCE345
Freshly Roasted Coffee Beans,Indulge in the rich aroma and flavor of our freshly roasted coffee beans. Perfect for brewing your favorite cup of coffee.,9.99,8.49,10,CFB678
Organic Blueberries,"Delight in the sweet and antioxidant-rich goodness of our organic blueberries. Perfect for snacking, baking, or adding to smoothies.",3.99,2.99,40,BLB111
Sweet Honeycrisp Apples,Experience the crispness and natural sweetness of honeycrisp apples. A healthy and flavorful choice for a refreshing snack.,2.79,2.19,35,HAP222
Gourmet Dark Chocolate,Indulge in the rich and velvety taste of our gourmet dark chocolate. Perfect for treating yourself or as a sophisticated gift.,6.99,5.49,15,CHC333
Organic Spinach Leaves,"Enjoy the freshness and nutritional benefits of organic spinach leaves. Ideal for salads, smoothies, or sautéing.",1.89,1.49,30,SPN444
Aromatic Basil Leaves,"Enhance your culinary creations with the aromatic and flavorful basil leaves. Perfect for sauces, soups, or garnishing dishes.",2.29,1.89,25,BAS555
Premium Extra Virgin Olive Oil,"Experience the richness and quality of our premium extra virgin olive oil. Perfect for cooking, dressing, or dipping.",9.99,7.99,10,OIL666
Assorted Nut Mix,Satisfy your snack cravings with our assorted nut mix. A delightful combination of nuts for a healthy and flavorful treat.,4.49,3.79,20,NUT777
Quinoa Superfood Blend,Boost your nutrition with our quinoa superfood blend. A versatile and protein-packed addition to your meals.,5.99,4.99,15,QUI888
Refreshing Coconut Water,Stay hydrated with the refreshing taste of coconut water. A natural and hydrating beverage for a tropical experience.,2.49,1.99,25,COC999
Exotic Mango Slices,"Savor the sweetness of exotic mango slices. Perfect for snacking, adding to desserts, or creating tropical fruit salads.",3.29,2.79,18,MNG101
Premium Whole Bean Espresso,Elevate your coffee experience with our premium whole bean espresso. Perfect for brewing a rich and aromatic cup of espresso.,11.99,10.49,12,ESP202
Artisanal Sourdough Bread,"Enjoy the artisanal goodness of our sourdough bread. A perfect choice for sandwiches, toasts, or as a side to your favorite dishes.",4.49,3.99,22,BRD303
Sun-Dried Tomato Pasta,Delight your taste buds with our sun-dried tomato pasta. Perfect for creating flavorful and gourmet pasta dishes.,3.79,2.99,28,PST404
Golden Turmeric Powder,"Add a burst of color and health benefits with our golden turmeric powder. Ideal for cooking, smoothies, or creating turmeric lattes.",2.89,2.39,23,TRM505
Natural Almond Butter,Indulge in the creamy and wholesome goodness of natural almond butter. A versatile and nutritious spread for your snacks and meals.,7.49,6.29,15,ALB606
Exquisite Truffle Infused Olive Oil,Elevate your culinary creations with our exquisite truffle-infused olive oil. Perfect for drizzling over dishes to add a touch of luxury.,14.99,12.99,8,TRO707
Healthy Chia Seeds,"Boost your nutrition with our healthy chia seeds. A versatile and nutrient-packed addition to smoothies, yogurt, or baked goods.",6.29,5.49,18,CHI808
Premium Green Tea Leaves,Experience the freshness and antioxidants of our premium green tea leaves. Perfect for brewing a revitalizing cup of green tea.,3.99,3.29,20,TEA909
